segment,index,x,y,yaw
0,124,7.7500,9.5500,-1.5708
0,125,7.7500,9.2000,-1.4289
0,126,7.8000,8.8500,-1.5708
0,127,7.8000,8.5000,-1.5708
0,128,7.8000,8.1500,-1.5708
0,129,7.8000,7.8000,-1.5708
0,130,7.8000,7.4500,-1.4289
0,131,7.8500,7.1000,-1.5708
0,132,7.8500,6.7500,-1.5708
0,133,7.8500,6.4000,-1.5708
0,134,7.8500,6.0500,-1.4289
0,135,7.9000,5.7000,-1.5708
0,136,7.9000,5.3500,-1.5708
0,137,7.9000,5.0000,-1.5708
0,138,7.9000,4.6500,-1.4289
0,139,7.9500,4.3000,-1.5708
0,140,7.9500,3.9500,-1.5708
0,141,7.9500,3.6000,-1.5708
0,142,7.9500,3.2500,-1.5708
0,143,7.9500,2.9000,-1.5708
0,144,7.9500,2.5500,-1.5708
0,145,7.9500,2.2000,-1.5708
0,146,7.9500,1.8500,-1.5708
0,147,7.9500,1.5000,-1.4289
0,148,8.0000,1.1500,-1.5708
0,149,8.0000,0.8000,-2.9997
0,150,7.6500,0.7500,3.1416
0,151,7.3000,0.7500,3.1416
0,152,6.9500,0.7500,3.1416
0,153,6.6000,0.7500,3.1416
0,154,6.2500,0.7500,3.1416
0,155,5.9000,0.7500,-2.9997
0,156,5.5500,0.7000,3.1416
0,157,5.2000,0.7000,2.6224
0,158,4.8500,0.9000,3.1416
0,159,4.5000,0.9000,3.1416
0,160,4.1500,0.9000,3.1416
0,161,3.8000,0.9000,-2.9997
0,162,3.4500,0.8500,3.1416
0,163,3.1000,0.8500,3.1416
0,164,2.7500,0.8500,-2.9997
0,165,2.4000,0.8000,3.1416
0,166,2.0500,0.8000,-2.6224
0,167,1.7000,0.6000,-2.8633
0,168,1.3500,0.5000,3.1416
0,169,1.0000,0.5000,3.1416
0,170,0.6500,0.5000,3.1416
0,171,0.3000,0.5000,3.1416
0,172,0.2000,0.5000,0.0000
