segment,index,x,y,yaw
0,178,-10.5388,-7.2906,-1.5647
0,179,-10.5379,-7.4406,-1.5710
0,180,-10.5380,-7.5906,-1.5768
0,181,-10.5389,-7.7406,-1.5768
0,182,-10.5398,-7.8906,-1.5768
0,183,-10.5407,-8.0406,-1.5768
0,184,-10.5416,-8.1906,-1.5768
0,185,-10.5425,-8.3406,-1.5768
0,186,-10.5434,-8.4907,-1.5768
0,187,-10.5443,-8.6407,-1.5768
0,188,-10.5452,-8.7907,-1.5768
0,189,-10.5461,-8.9407,-1.5768
0,190,-10.5470,-9.0907,-1.5768
0,191,-10.5478,-9.2407,-1.5768
0,192,-10.5487,-9.3907,-1.5768
0,193,-10.5496,-9.5407,-2.1307
0,194,-10.6198,-9.6526,-3.0090
0,195,-10.7685,-9.6725,-3.1247
0,196,-10.9184,-9.6750,3.1416
0,197,-11.0684,-9.6750,-2.2467
0,198,-11.1483,-9.7746,-1.9154
0,199,-11.1990,-9.9158,-1.9154
0,200,-11.2496,-10.0570,-1.8353
0,201,-11.2885,-10.2004,-1.5964
0,202,-11.2923,-10.3504,-1.5964
0,203,-11.2962,-10.5004,-1.5964
0,204,-11.3000,-10.6503,-1.5964
0,205,-11.3039,-10.8003,-1.5964
0,206,-11.3077,-10.9502,-1.5964
0,207,-11.3115,-11.1002,-0.4961
0,208,-11.2020,-11.1595,-0.1964
0,209,-11.0549,-11.1888,-0.1964
0,210,-10.9077,-11.2180,-0.1964
0,211,-10.7606,-11.2473,-0.1964
0,212,-10.6135,-11.2766,-0.1964
0,213,-10.4664,-11.3059,-0.1964
0,214,-10.3192,-11.3351,-0.1964
0,215,-10.1721,-11.3644,-0.1964
0,216,-10.0250,-11.3937,-0.1964
0,217,-9.8779,-11.4230,-0.1964
0,218,-9.7307,-11.4522,-0.1964
0,219,-9.5836,-11.4815,-0.1964
0,220,-9.4365,-11.5108,-0.1964
0,221,-9.2894,-11.5401,-0.1964
0,222,-9.1422,-11.5693,-0.1964
0,223,-8.9951,-11.5986,-0.1771
0,224,-8.8477,-11.6250,0.0000
0,225,-8.6977,-11.6250,0.0000
0,226,-8.5477,-11.6250,0.0000
0,227,-8.3977,-11.6250,0.0000
0,228,-8.2477,-11.6250,0.0000
0,229,-8.0976,-11.6250,0.0000
0,230,-7.9476,-11.6250,0.0000
0,231,-7.7976,-11.6250,0.0000
0,232,-7.6476,-11.6250,0.0000
0,233,-7.4976,-11.6250,0.0000
0,234,-7.3476,-11.6250,0.0000
0,235,-7.1976,-11.6250,0.0000
0,236,-7.0476,-11.6250,0.0000
0,237,-6.8976,-11.6250,0.0000
0,238,-6.7476,-11.6250,0.0000
0,239,-6.5976,-11.6250,0.0000
0,240,-6.4475,-11.6250,0.0000
0,241,-6.2975,-11.6250,0.0000
0,242,-6.1475,-11.6250,0.0000
0,243,-5.9975,-11.6250,0.0000
0,244,-5.8475,-11.6250,0.0000
0,245,-5.6975,-11.6250,0.0000
0,246,-5.5475,-11.6250,0.0000
0,247,-5.3975,-11.6250,0.0000
0,248,-5.2475,-11.6250,0.0000
0,249,-5.0975,-11.6250,0.0000
0,250,-4.9475,-11.6250,0.0000
0,251,-4.7974,-11.6250,0.0000
0,252,-4.6474,-11.6250,0.0000
0,253,-4.4974,-11.6250,0.0000
0,254,-4.3474,-11.6250,0.0000
0,255,-4.1974,-11.6250,0.0000
0,256,-4.0474,-11.6250,-0.0080
0,257,-3.8974,-11.6262,-0.0300
0,258,-3.7475,-11.6307,-0.0300
0,259,-3.5975,-11.6352,-0.0300
0,260,-3.4476,-11.6397,-0.0300
0,261,-3.2976,-11.6442,-0.0300
0,262,-3.1477,-11.6487,-0.0300
0,263,-2.9978,-11.6532,-0.0300
0,264,-2.8478,-11.6577,-0.0300
0,265,-2.6979,-11.6622,-0.0300
0,266,-2.5479,-11.6667,-0.0300
0,267,-2.3980,-11.6712,-0.0300
0,268,-2.2480,-11.6757,-0.0300
0,269,-2.0981,-11.6802,-0.0300
0,270,-1.9482,-11.6847,-0.0300
0,271,-1.7982,-11.6892,-0.0300
0,272,-1.6483,-11.6937,-0.0300
0,273,-1.4983,-11.6982,-0.6808
0,274,-1.3976,-11.7797,-1.2493
0,275,-1.3508,-11.9205,-1.4056
0,276,-1.3261,-12.0684,-1.5635
0,277,-1.3250,-12.2184,-1.5708
