segment,index,x,y,yaw
0,62,-6.7500,-14.7500,-1.5708
0,63,-6.7500,-15.1000,-1.5708
0,64,-6.7500,-15.4500,-1.5708
0,65,-6.7500,-15.8000,-1.5708
0,66,-6.7500,-16.1500,-1.5708
0,67,-6.7500,-16.5000,-1.5708
0,68,-6.7500,-16.8500,-1.4289
0,69,-6.7000,-17.2000,-1.1659
0,70,-6.5500,-17.5500,-1.4289
0,71,-6.5000,-17.9000,-1.5708
0,72,-6.5000,-18.2500,-1.5708
0,73,-6.5000,-18.6000,-1.4289
0,74,-6.4500,-18.9500,-1.5708
0,75,-6.4500,-19.3000,-1.5708
0,76,-6.4500,-19.6500,-1.5708
0,77,-6.4500,-20.0000,-0.4049
0,78,-6.1000,-20.1500,0.0000
0,79,-5.7500,-20.1500,0.0000
0,80,-5.4000,-20.1500,0.0000
0,81,-5.0500,-20.1500,0.0000
0,82,-4.7000,-20.1500,0.0000
0,83,-4.3500,-20.1500,0.2783
0,84,-4.0000,-20.0500,-0.1419
0,85,-3.6500,-20.1000,-0.4049
0,86,-3.3000,-20.2500,0.0000
0,87,-2.9500,-20.2500,0.0000
0,88,-2.6000,-20.2500,0.0000
0,89,-2.2500,-20.2500,0.0000
0,90,-1.9000,-20.2500,0.0000
0,91,-1.5500,-20.2500,0.0000
0,92,-1.2000,-20.2500,0.0000
0,93,-0.8500,-20.2500,0.1419
0,94,-0.5000,-20.2000,0.0000
0,95,-0.1500,-20.2000,0.0000
0,96,0.2000,-20.2000,-0.2783
0,97,0.5500,-20.3000,0.0000
0,98,0.9000,-20.3000,0.0000
0,99,1.2500,-20.3000,0.0000
0,100,1.6000,-20.3000,0.0000
0,101,1.9500,-20.3000,0.0000
0,102,2.3000,-20.3000,0.0000
0,103,2.6500,-20.3000,0.4049
0,104,3.0000,-20.1500,1.2925
0,105,3.1000,-19.8000,1.5708
0,106,3.1000,-19.4500,1.5708
0,107,3.1000,-19.1000,1.5708
0,108,3.1000,-18.7500,1.5708
0,109,3.1000,-18.4000,1.5708
0,110,3.1000,-18.0500,1.5708
0,111,3.1000,-17.7000,1.5708
0,112,3.1000,-17.3500,1.5708
0,113,3.1000,-17.0000,1.7127
0,114,3.0500,-16.6500,1.5708
0,115,3.0500,-16.3000,1.5708
0,116,3.0500,-15.9500,1.5708
0,117,3.0500,-15.6000,1.5708
0,118,3.0500,-15.2500,1.5708
0,119,3.0500,-14.9000,1.5708
0,120,3.0500,-14.5500,1.5708
0,121,3.0500,-14.2000,1.5708
0,122,3.0500,-13.8500,1.5708
0,123,3.0500,-13.5000,1.5708
0,124,3.0500,-13.1500,1.5708
0,125,3.0500,-12.8000,1.7127
0,126,3.0000,-12.4500,1.5708
0,127,3.0000,-12.1000,1.7127
0,128,2.9500,-11.7500,1.5708
0,129,2.9500,-11.4000,1.5708
0,130,2.9500,-11.0500,1.5708
0,131,2.9500,-10.7000,1.5708
0,132,2.9500,-10.3500,1.4289
0,133,3.0000,-10.0000,1.4289
0,134,3.0500,-9.6500,1.5708
0,135,3.0500,-9.3000,1.9757
0,136,2.9000,-8.9500,1.1659
0,137,3.0500,-8.6000,1.5708
0,138,3.0500,-8.2500,1.5708
0,139,3.0500,-7.9000,1.5708
0,140,3.0500,-7.5500,1.5708
0,141,3.0500,-7.2000,1.5708
0,142,3.0500,-6.8500,1.5708
0,143,3.0500,-6.5000,1.7127
0,144,3.0000,-6.1500,2.1588
0,145,2.8000,-5.8500,1.5708
0,146,2.8000,-5.5000,1.5708
0,147,2.8000,-5.1500,1.5708
0,148,2.8000,-4.8000,1.5708
0,149,2.8000,-4.4500,1.5708
0,150,2.8000,-4.1000,1.5708
0,151,2.8000,-3.7500,1.5708
0,152,2.8000,-3.4000,1.8491
0,153,2.7000,-3.0500,1.4289
0,154,2.7500,-2.7000,1.2925
0,155,2.8500,-2.3500,1.5708
0,156,2.8500,-2.0000,1.5708
0,157,2.8500,-1.6500,1.5708
0,158,2.8500,-1.3000,1.5708
0,159,2.8500,-0.9500,0.9828
0,160,3.0500,-0.6500,1.5708
0,161,3.0500,-0.3000,1.5708
0,162,3.0500,0.0500,2.8633
0,163,2.7000,0.1500,3.1416
0,164,2.3500,0.1500,3.1416
0,165,2.0000,0.1500,3.1416
0,166,1.6500,0.1500,-2.7367
0,167,1.3000,0.0000,3.1416
0,168,0.9500,0.0000,3.1416
0,169,0.6000,0.0000,3.1416
0,170,0.2500,0.0000,3.1416
0,171,0.2000,0.0000,0.0000
